,Rk,Player,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Rk,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Rk,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Rk,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Rk,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,VAL
46,110,Denis Cheryshev,10.3,33,3.21,22,0,8,0,2,1,2,0.19,1,0,0,0,1,0,110,10.3,27,16,12,10,5,6,23,26.1,17,18,1,17,13,40,10,0,110,10.3,224,334,67.1,3582,1127,120,149,80.5,83,126,65.9,15,32,46.9,1,3.5,1.5,-2.5,17,21,15,6,38,110,10.3,484,13,89,207,199,40,484,33,16,48.5,17,51.5,281,2207,1326,51,37,17,18,20,333,75,110,10.3,2,29,9,31.0,2.82,0.87,0.07,0.22,18.1,0,0,0,5.1,5.1,0.17,-3.1,-3.1,77
47,111,Leandro Chichizola,27.0,5,0.19,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,111,27.0,2,0,2,0,0,2,6,33.3,4,0,0,0,4,6,29,3,111,27.0,807,1142,70.7,23394,17039,125,127,98.4,386,394,98.0,295,614,48.0,0,0.0,0.0,0.0,1,9,0,0,0,111,27.0,1237,974,1235,3,0,0,1237,5,5,100.0,0,0.0,678,3800,2531,0,0,0,4,0,545,0,111,27.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,77
48,114,Jasper Cillessen,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,114,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,114,1.0,25,31,80.6,605,330,4,4,100.0,14,14,100.0,7,13,53.8,0,0.0,0.0,0.0,0,0,0,0,0,114,1.0,34,34,34,0,0,0,34,0,0,,0,,15,79,41,0,0,0,0,0,16,0,114,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,81
49,115,Coke,15.4,25,1.63,20,0,2,1,1,1,4,0.26,3,0,0,1,0,0,115,15.4,35,23,26,7,2,18,39,46.2,21,17,5,12,34,69,46,0,115,15.4,543,748,72.6,8503,3984,306,352,86.9,181,251,72.1,44,96,45.8,0,0.4,0.6,-0.4,11,43,15,5,67,115,15.4,935,69,323,378,247,27,935,28,19,67.9,9,32.1,462,2555,1459,35,33,6,23,25,486,59,115,15.4,3,11,5,45.5,0.72,0.33,0.27,0.60,17.2,0,0,0,1.9,1.9,0.17,+1.1,+1.1,78
50,117,Francis Coquelin,7.3,11,1.51,9,0,1,1,0,0,1,0.14,1,0,0,0,0,0,117,7.3,18,14,11,6,1,9,16,56.3,7,9,2,7,20,38,23,0,117,7.3,256,310,82.6,4423,1405,126,140,90.0,91,109,83.5,29,41,70.7,0,0.1,0.1,-0.1,2,33,1,0,28,117,7.3,392,21,107,228,61,6,392,18,14,77.8,4,22.2,201,857,439,3,6,1,6,15,220,16,117,7.3,1,4,3,75.0,0.55,0.41,0.25,0.33,16.7,0,0,0,0.3,0.3,0.07,+0.7,+0.7,79
51,122,Diego Costa,11.6,31,2.68,23,0,1,2,3,2,6,0.52,4,0,0,0,1,1,122,11.6,17,11,2,10,5,4,15,26.7,11,14,4,10,5,22,3,0,122,11.6,237,316,75.0,2810,422,157,193,81.3,44,55,80.0,8,13,61.5,3,2.4,1.3,+0.6,13,11,9,1,16,122,11.6,462,7,28,183,252,59,462,32,15,46.9,17,53.1,324,1989,607,27,21,16,50,41,396,122,122,11.6,3,25,10,40.0,2.16,0.86,0.12,0.30,14.9,0,0,0,3.6,3.6,0.14,-0.6,-0.6,85
52,123,Jaume Costa,28.2,60,2.13,48,4,2,3,2,1,0,0.00,0,0,0,0,0,0,123,28.2,67,43,39,22,6,33,51,64.7,18,30,8,22,46,113,97,0,123,28.2,1262,1583,79.7,20464,8096,673,745,90.3,476,596,79.9,97,185,52.4,0,1.7,2.3,-1.7,31,115,31,10,129,123,28.2,1876,107,550,914,429,29,1876,39,27,69.2,12,30.8,926,4606,2831,77,45,14,19,14,1148,107,123,28.2,0,12,3,25.0,0.43,0.11,0.00,0.00,22.4,0,0,0,0.5,0.5,0.04,-0.5,-0.5,79
53,124,Philippe Coutinho,14.4,63,4.37,44,9,6,1,2,1,8,0.56,7,1,0,0,0,0,124,14.4,27,14,8,14,5,9,32,28.1,23,14,0,14,6,33,4,0,124,14.4,728,877,83.0,9986,2462,429,470,91.3,192,224,85.7,44,83,53.0,5,4.2,5.0,+0.8,29,62,29,2,99,124,14.4,1054,8,66,454,550,67,1054,77,46,59.7,31,40.3,777,4665,2247,72,58,24,41,36,853,136,124,14.4,8,37,20,54.1,2.57,1.39,0.22,0.40,21.2,0,0,0,3.6,3.6,0.10,+4.4,+4.4,88
54,127,Sergi Darder,30.9,66,2.14,46,11,3,2,1,3,3,0.10,2,1,0,0,0,0,127,30.9,64,43,29,28,7,19,62,30.6,43,31,5,26,52,116,48,1,127,30.9,1213,1506,80.5,21560,7141,574,646,88.9,448,539,83.1,154,235,65.5,2,2.4,2.5,-0.4,28,162,15,3,191,127,30.9,1782,55,388,1078,337,16,1782,48,34,70.8,14,29.2,1069,4962,2400,32,25,5,29,23,1192,32,127,30.9,1,29,8,27.6,0.94,0.26,0.03,0.13,25.8,2,0,0,1.1,1.1,0.04,-0.1,-0.1,79
55,134,Papakouli Diop,2.9,4,1.36,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,134,2.9,5,3,1,3,1,0,3,0.0,3,5,2,3,6,11,6,0,134,2.9,63,80,78.8,1074,300,27,32,84.4,28,33,84.8,5,10,50.0,0,0.0,0.0,0.0,2,13,0,0,9,134,2.9,112,8,24,73,15,1,112,0,0,,0,,55,196,61,1,1,0,4,2,53,0,134,2.9,0,1,0,0.0,0.34,0.00,0.00,,24.5,0,0,0,0.0,0.0,0.03,0.0,0.0,77
56,135,Papakouli Diop,10.4,21,2.01,17,1,0,0,1,2,0,0.00,0,0,0,0,0,0,135,10.4,26,20,6,16,4,11,26,42.3,15,3,0,3,13,39,10,0,135,10.4,340,449,75.7,6280,1795,130,162,80.2,158,192,82.3,43,74,58.1,0,0.2,0.5,-0.2,4,52,7,2,65,135,10.4,540,9,59,373,112,18,540,11,8,72.7,3,27.3,269,1028,397,7,6,1,10,5,302,16,135,10.4,0,14,1,7.1,1.34,0.10,0.00,0.00,16.3,0,0,0,1.0,1.0,0.07,-1.0,-1.0,77
57,137,Marko Dmitrović,36.0,8,0.22,5,3,0,0,0,0,0,0.00,0,0,0,0,0,0,137,36.0,4,4,4,0,0,4,11,36.4,7,1,0,1,2,6,26,2,137,36.0,580,1163,49.9,26463,23662,46,47,97.9,134,136,98.5,399,974,41.0,0,0.0,0.2,0.0,1,82,1,0,1,137,36.0,1243,912,1231,15,0,0,1243,6,5,83.3,1,16.7,598,3789,2557,0,0,0,2,1,452,0,137,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,79
58,139,Mauro dos Santos,10.9,2,0.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,139,10.9,16,14,11,5,0,10,15,66.7,5,7,5,2,12,28,53,1,139,10.9,235,311,75.6,4951,1829,85,99,85.9,103,130,79.2,45,74,60.8,0,0.0,0.1,0.0,0,21,1,0,15,139,10.9,405,56,231,163,14,4,405,2,1,50.0,1,50.0,186,851,404,3,0,0,4,3,197,1,139,10.9,0,1,1,100.0,0.09,0.09,0.00,0.00,9.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,70
59,144,Hugo Duro,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,144,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,144,0.2,6,6,100.0,67,13,4,4,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,144,0.2,10,0,1,4,5,1,10,0,0,,0,,6,20,5,0,1,0,0,1,6,2,144,0.2,0,1,1,100.0,4.74,4.74,0.00,0.00,14.0,0,0,0,0.3,0.3,0.26,-0.3,-0.3,62
60,145,Aritz Elustondo,17.7,14,0.79,9,3,0,1,1,0,2,0.11,1,1,0,0,0,0,145,17.7,32,20,20,9,3,19,30,63.3,11,20,7,13,45,77,84,0,145,17.7,870,1028,84.6,16255,5748,319,357,89.4,464,514,90.3,77,133,57.9,2,0.3,0.5,+1.7,7,48,7,3,61,145,17.7,1248,88,572,607,76,13,1248,7,3,42.9,4,57.1,687,3572,1983,13,7,1,17,5,785,12,145,17.7,3,11,5,45.5,0.62,0.28,0.27,0.60,17.5,0,0,0,1.3,1.3,0.11,+1.7,+1.7,75
61,146,Rodrigo Ely,29.9,16,0.54,13,0,0,2,0,1,1,0.03,1,0,0,0,0,0,146,29.9,32,18,26,6,0,19,34,55.9,15,45,36,9,50,82,183,0,146,29.9,753,1040,72.4,16921,6729,199,250,79.6,396,475,83.4,152,292,52.1,0,0.4,0.2,-0.4,2,40,1,0,46,146,29.9,1388,231,829,518,49,30,1388,3,3,100.0,0,0.0,596,2761,1468,6,1,0,9,3,635,7,146,29.9,1,18,4,22.2,0.60,0.13,0.06,0.25,13.3,0,0,0,1.2,1.2,0.07,-0.2,-0.2,75
62,147,Youssef En-Nesyri,17.7,28,1.58,11,0,7,3,5,2,3,0.17,0,0,1,1,0,1,147,17.7,31,25,10,14,7,6,26,23.1,20,11,0,11,9,40,32,0,147,17.7,190,342,55.6,2524,500,119,179,66.5,43,87,49.4,11,26,42.3,0,0.9,0.4,-0.9,10,13,6,2,23,147,17.7,602,33,74,261,277,64,601,53,18,34.0,35,66.0,319,1829,625,21,27,13,66,36,414,79,147,17.7,4,47,13,27.7,2.65,0.73,0.09,0.31,16.2,0,0,1,5.2,4.4,0.09,-1.2,-0.4,72
63,148,Sergi Enrich,14.8,32,2.17,23,1,0,2,4,2,3,0.20,1,0,0,0,1,1,148,14.8,11,8,3,3,5,2,8,25.0,6,13,1,12,6,17,8,0,148,14.8,289,430,67.2,3759,477,194,275,70.5,58,86,67.4,16,25,64.0,1,1.7,1.0,-0.7,15,17,1,0,21,148,14.8,571,11,26,267,281,60,571,7,4,57.1,3,42.9,292,938,227,4,7,4,47,31,442,88,148,14.8,3,32,11,34.4,2.17,0.74,0.09,0.27,16.0,0,0,0,3.1,3.1,0.10,-0.1,-0.1,80
64,149,Javier Eraso,28.1,62,2.20,39,13,2,4,4,0,6,0.21,2,2,0,2,0,0,149,28.1,32,15,10,18,4,13,42,31.0,29,16,5,11,23,55,17,0,149,28.1,623,875,71.2,9010,2313,386,461,83.7,162,239,67.8,47,104,45.2,3,3.4,2.3,-0.4,33,53,9,4,75,149,28.1,1097,13,135,532,441,69,1097,23,11,47.8,12,52.2,628,2668,1164,39,30,7,56,53,717,145,149,28.1,4,32,13,40.6,1.14,0.46,0.13,0.31,16.5,0,0,0,4.3,4.3,0.14,-0.3,-0.3,76
65,150,Gonzalo Escalante,17.4,29,1.67,23,0,2,2,2,0,0,0.00,0,0,0,0,0,0,150,17.4,59,35,21,32,6,17,39,43.6,22,26,3,23,32,91,19,0,150,17.4,490,674,72.7,7937,1894,236,308,76.6,201,244,82.4,34,76,44.7,0,1.0,0.8,-1.0,10,46,8,2,64,150,17.4,874,26,142,530,216,28,874,21,15,71.4,6,28.6,399,1675,578,11,17,0,19,13,471,22,150,17.4,1,25,5,20.0,1.44,0.29,0.04,0.20,18.2,0,0,0,1.3,1.3,0.05,-0.3,-0.3,78
66,151,Sergio Escudero,25.9,46,1.78,32,7,0,1,2,4,6,0.23,3,2,0,1,0,0,151,25.9,78,49,40,26,12,32,62,51.6,30,35,6,29,66,144,69,1,151,25.9,1303,1651,78.9,20152,8064,724,810,89.4,430,557,77.2,94,179,52.5,2,1.2,1.5,+0.8,14,102,17,4,145,151,25.9,1947,80,514,999,461,33,1947,40,26,65.0,14,35.0,988,4489,2539,56,50,14,29,15,1061,105,151,25.9,0,19,4,21.1,0.73,0.15,0.00,0.00,22.8,2,0,0,1.0,1.0,0.05,-1.0,-1.0,79
67,152,Bernardo Espinosa,31.9,20,0.63,13,0,0,6,1,0,4,0.13,2,0,0,2,0,0,152,31.9,36,22,29,6,1,18,33,54.5,15,27,19,8,66,102,169,0,152,31.9,960,1177,81.6,22797,9392,212,240,88.3,516,585,88.2,225,332,67.8,3,1.1,1.0,+1.9,7,43,3,0,42,152,31.9,1526,223,966,504,61,45,1526,4,2,50.0,2,50.0,647,2640,1074,0,2,1,12,5,829,5,152,31.9,0,26,4,15.4,0.82,0.13,0.00,0.00,11.8,0,0,0,2.7,2.7,0.10,-2.7,-2.7,77
68,154,Beñat Etxebarria,12.4,57,4.58,26,26,2,2,0,1,6,0.48,3,2,0,1,0,0,154,12.4,28,20,12,13,3,13,36,36.1,23,6,1,5,28,56,12,0,154,12.4,642,817,78.6,12632,3735,252,284,88.7,275,328,83.8,107,176,60.8,2,2.4,2.0,-0.4,25,62,16,1,109,154,12.4,918,17,115,565,254,3,918,12,6,50.0,6,50.0,465,2079,985,21,17,1,17,14,567,22,154,12.4,0,13,3,23.1,1.04,0.24,0.00,0.00,28.6,6,0,0,0.5,0.5,0.04,-0.5,-0.5,80
69,155,Xabier Etxeita,4.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,155,4.2,2,2,2,0,0,1,4,25.0,3,3,2,1,7,9,25,1,155,4.2,136,161,84.5,3024,1198,33,36,91.7,76,84,90.5,25,34,73.5,0,0.0,0.0,0.0,0,14,0,0,10,155,4.2,206,31,111,86,9,5,206,0,0,,0,,117,568,345,3,2,1,2,0,123,0,155,4.2,1,4,1,25.0,0.96,0.24,0.25,1.00,9.6,0,0,0,0.4,0.4,0.10,+0.6,+0.6,74
70,160,Zouhair Feddal,14.0,5,0.36,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,160,14.0,22,14,14,6,2,7,12,58.3,5,17,13,4,36,58,95,2,160,14.0,668,825,81.0,14299,4829,218,240,90.8,314,353,89.0,128,211,60.7,0,0.1,0.2,-0.1,1,64,1,1,66,160,14.0,1011,123,520,466,29,10,1011,3,3,100.0,0,0.0,584,3018,1855,11,10,1,12,3,639,2,160,14.0,3,6,3,50.0,0.43,0.21,0.50,1.00,17.0,1,0,0,0.5,0.5,0.09,+2.5,+2.5,80
71,166,Junior Firpo,13.2,16,1.21,14,1,0,0,1,0,2,0.15,2,0,0,0,0,0,166,13.2,26,17,15,8,3,10,18,55.6,8,21,2,19,20,46,37,1,166,13.2,539,652,82.7,8642,2339,282,320,88.1,219,259,84.6,32,49,65.3,2,1.5,1.2,+0.5,9,23,8,4,40,166,13.2,807,36,247,396,168,28,807,19,8,42.1,11,57.9,491,1907,1034,28,16,8,16,6,503,59,166,13.2,2,13,4,30.8,0.98,0.30,0.15,0.50,15.1,0,0,0,1.3,1.3,0.10,+0.7,+0.7,75
72,169,Pablo Fornals,29.1,114,3.92,95,0,6,5,5,3,17,0.58,16,0,0,1,0,0,169,29.1,52,33,19,26,7,18,60,30.0,42,29,3,26,22,74,18,0,169,29.1,1047,1373,76.3,17421,4820,544,646,84.2,363,458,79.3,110,170,64.7,12,8.6,3.8,+3.4,52,125,40,6,171,169,29.1,1649,26,236,897,534,57,1649,53,27,50.9,26,49.1,1048,5469,2730,74,54,12,53,42,1267,175,169,29.1,3,51,14,27.5,1.75,0.48,0.06,0.21,21.3,1,0,0,2.8,2.8,0.06,+0.2,+0.2,81
73,170,Javi Fuego,6.0,5,0.84,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,170,6.0,20,13,8,11,1,7,14,50.0,7,7,4,3,3,23,14,0,170,6.0,261,334,78.1,4185,1485,136,158,86.1,94,116,81.0,24,36,66.7,0,0.0,0.1,0.0,0,28,2,0,32,170,6.0,395,23,120,238,40,0,395,2,2,100.0,0,0.0,161,625,218,1,2,0,10,8,235,1,170,6.0,0,1,0,0.0,0.17,0.00,0.00,,27.9,0,0,0,0.0,0.0,0.02,0.0,0.0,78
74,171,Javi Fuego,14.9,11,0.74,6,1,0,0,2,2,0,0.00,0,0,0,0,0,0,171,14.9,34,25,19,12,3,11,28,39.3,17,15,6,9,19,53,23,0,171,14.9,492,625,78.7,7744,2367,253,301,84.1,181,219,82.6,37,62,59.7,0,0.0,0.2,0.0,2,47,1,0,41,171,14.9,747,30,216,470,67,6,747,6,3,50.0,3,50.0,308,1090,440,2,5,0,18,11,414,2,171,14.9,0,6,2,33.3,0.40,0.13,0.00,0.00,19.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,78
75,173,Gabriel,26.4,65,2.46,44,1,3,2,12,3,4,0.15,3,0,0,1,0,0,173,26.4,90,69,28,54,8,29,74,39.2,45,38,4,34,38,128,27,0,173,26.4,792,1196,66.2,12967,4552,440,608,72.4,228,319,71.5,90,165,54.5,2,2.0,2.4,0.0,21,115,11,2,117,173,26.4,1545,35,269,928,372,62,1544,78,49,62.8,29,37.2,828,3670,1516,31,21,5,52,53,1009,50,173,26.4,5,42,13,31.0,1.59,0.49,0.10,0.31,19.1,3,1,1,5.5,4.7,0.11,-0.5,-0.7,76
76,179,Ganso,5.8,18,3.12,15,2,0,0,1,0,0,0.00,0,0,0,0,0,0,179,5.8,15,11,3,12,0,3,11,27.3,8,7,0,7,2,17,4,0,179,5.8,287,353,81.3,3972,1078,175,203,86.2,85,98,86.7,10,20,50.0,0,0.4,0.5,-0.4,8,32,5,1,33,179,5.8,406,5,44,252,112,11,406,8,4,50.0,4,50.0,259,912,409,7,14,0,12,8,294,17,179,5.8,2,7,3,42.9,1.21,0.52,0.29,0.67,16.3,0,0,0,1.4,1.4,0.20,+0.6,+0.6,76
77,180,Ezequiel Garay,22.5,9,0.40,7,1,0,1,0,0,0,0.00,0,0,0,0,0,0,180,22.5,18,12,15,3,0,10,14,71.4,4,22,11,11,24,42,139,0,180,22.5,939,1098,85.5,19128,6717,280,309,90.6,544,591,92.0,107,179,59.8,0,0.4,0.3,-0.4,3,52,5,2,61,180,22.5,1314,167,730,566,22,8,1314,0,0,,0,,765,3570,1916,7,4,0,5,1,824,1,180,22.5,0,6,1,16.7,0.27,0.04,0.00,0.00,14.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4,82
78,192,Mario Gaspar,31.2,61,1.96,49,4,2,2,0,4,7,0.22,5,0,0,2,0,0,192,31.2,110,66,63,37,10,58,87,66.7,29,58,11,47,58,168,114,0,192,31.2,1406,1817,77.4,22732,9508,750,846,88.7,552,701,78.7,88,192,45.8,3,2.3,2.4,+0.7,31,85,18,6,121,192,31.2,2248,133,737,997,537,42,2248,46,22,47.8,24,52.2,983,5314,3257,83,63,8,27,17,1230,139,192,31.2,2,29,10,34.5,0.93,0.32,0.07,0.20,23.1,0,0,0,1.3,1.3,0.04,+0.7,+0.7,80
79,195,Nacho Gil,8.1,19,2.35,7,9,0,0,3,0,0,0.00,0,0,0,0,0,0,195,8.1,10,6,6,2,2,5,21,23.8,16,9,0,9,6,16,2,0,195,8.1,223,296,75.3,3141,919,137,160,85.6,53,68,77.9,15,38,39.5,0,1.0,1.4,-1.0,10,14,4,1,24,195,8.1,362,2,44,161,161,13,362,14,5,35.7,9,64.3,219,1065,521,13,11,4,17,13,253,45,195,8.1,0,7,2,28.6,0.86,0.25,0.00,0.00,18.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,72
80,196,Nacho Gil,2.5,10,3.93,4,2,1,0,3,0,2,0.79,0,1,0,0,1,0,196,2.5,6,1,2,4,0,1,8,12.5,7,6,0,6,2,8,2,0,196,2.5,68,90,75.6,1048,402,37,43,86.0,20,23,87.0,7,12,58.3,1,0.4,0.5,+0.6,2,7,2,0,10,196,2.5,126,0,17,48,62,8,126,7,5,71.4,2,28.6,76,356,194,6,5,3,8,1,75,18,196,2.5,0,2,1,50.0,0.79,0.39,0.00,0.00,20.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,72
81,210,Andoni Gorosabel,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,210,0.8,3,2,1,2,0,2,5,40.0,3,1,0,1,4,7,1,0,210,0.8,42,50,84.0,553,107,31,33,93.9,7,10,70.0,2,4,50.0,0,0.0,0.0,0.0,0,3,1,0,2,210,0.8,66,0,18,32,16,0,66,0,0,,0,,33,140,87,0,1,0,6,0,34,6,210,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,68
82,211,Julio Gracia,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,211,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,211,0.3,17,22,77.3,238,53,10,12,83.3,5,6,83.3,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,1,211,0.3,23,0,0,18,5,0,23,0,0,,0,,20,96,31,1,0,0,0,2,18,0,211,0.3,0,1,0,0.0,3.91,0.00,0.00,,21.3,0,0,0,0.0,0.0,0.03,0.0,0.0,61
83,213,Esteban Granero,13.7,32,2.34,15,11,1,0,4,1,4,0.29,2,0,0,0,1,1,213,13.7,32,22,15,13,4,9,27,33.3,18,19,0,19,19,51,21,0,213,13.7,598,754,79.3,10191,2755,285,315,90.5,237,280,84.6,59,123,48.0,2,2.1,1.7,-0.1,17,53,12,3,74,213,13.7,885,19,162,477,258,12,885,17,9,52.9,8,47.1,521,2468,1021,16,21,0,16,20,567,23,213,13.7,1,13,2,15.4,0.95,0.15,0.08,0.50,24.7,3,0,0,0.6,0.6,0.04,+0.4,+0.4,78
84,214,Antoine Griezmann,28.0,98,3.50,66,8,10,4,8,2,17,0.61,12,0,3,1,1,0,214,28.0,36,24,6,23,7,10,30,33.3,20,20,1,19,10,46,14,0,214,28.0,809,1080,74.9,12542,3324,436,539,80.9,253,314,80.6,70,116,60.3,9,6.8,4.7,+2.2,44,69,44,1,125,214,28.0,1322,21,145,596,601,102,1320,46,28,60.9,18,39.1,764,4324,2096,67,57,20,45,32,1004,185,214,28.0,19,70,38,54.3,2.50,1.36,0.24,0.45,18.0,8,2,2,13.1,11.5,0.16,+5.9,+5.5,89
85,218,Ramiro Guerra,0.8,1,1.27,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,218,0.8,3,2,1,0,2,2,3,66.7,1,0,0,0,0,3,2,0,218,0.8,26,32,81.3,381,107,15,16,93.8,9,12,75.0,2,3,66.7,0,0.1,0.1,-0.1,1,1,1,1,2,218,0.8,40,0,11,22,7,0,40,2,0,0.0,2,100.0,26,91,32,1,0,0,2,3,29,2,218,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,70
86,219,Francis Guerrero,11.0,16,1.45,14,1,0,0,1,0,1,0.09,1,0,0,0,0,0,219,11.0,31,19,22,7,2,16,34,47.1,18,16,4,12,21,52,26,0,219,11.0,456,601,75.9,6116,1868,301,341,88.3,121,167,72.5,17,41,41.5,0,0.5,0.9,-0.5,8,18,11,5,23,219,11.0,734,31,206,300,239,15,734,27,17,63.0,10,37.0,461,2344,1099,26,22,7,20,22,462,86,219,11.0,1,4,1,25.0,0.36,0.09,0.25,1.00,20.3,0,0,0,0.3,0.3,0.07,+0.7,+0.7,75
87,220,John Guidetti,13.6,35,2.58,26,0,2,4,2,1,6,0.44,4,0,1,1,0,0,220,13.6,7,7,3,1,3,2,10,20.0,8,10,1,9,2,9,7,0,220,13.6,230,367,62.7,3143,861,143,206,69.4,59,87,67.8,12,27,44.4,3,1.7,1.6,+1.3,13,29,5,0,35,220,13.6,460,8,33,229,202,48,460,11,7,63.6,4,36.4,256,1045,448,12,12,8,25,20,367,77,220,13.6,3,28,11,39.3,2.06,0.81,0.11,0.27,18.9,3,0,0,2.7,2.7,0.10,+0.3,+0.3,79
88,221,John Guidetti,1.3,5,3.91,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,221,1.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,221,1.3,28,38,73.7,373,114,17,22,77.3,6,8,75.0,1,2,50.0,0,0.5,0.2,-0.5,2,3,0,0,4,221,1.3,48,1,3,14,31,10,48,1,1,100.0,0,0.0,34,117,32,1,2,2,2,8,45,14,221,1.3,0,5,3,60.0,3.91,2.35,0.00,0.00,14.7,0,0,0,0.9,0.9,0.18,-0.9,-0.9,79
89,223,Gerard Gumbau,15.9,18,1.13,14,0,0,3,0,1,1,0.06,1,0,0,0,0,0,223,15.9,35,26,13,21,1,12,37,32.4,25,12,4,8,14,49,27,0,223,15.9,412,529,77.9,8119,2579,188,228,82.5,147,173,85.0,70,103,68.0,0,0.5,0.2,-0.5,5,62,2,0,49,223,15.9,647,34,172,414,66,6,647,7,6,85.7,1,14.3,329,1345,620,6,6,1,10,7,384,5,223,15.9,1,17,6,35.3,1.07,0.38,0.06,0.17,28.5,0,0,0,0.7,0.7,0.04,+0.3,+0.3,71
90,224,Jon Guridi,0.6,2,3.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,224,0.6,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,224,0.6,18,23,78.3,286,67,9,10,90.0,8,9,88.9,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,3,224,0.6,27,1,3,12,12,2,27,0,0,,0,,16,66,14,0,2,0,2,1,18,1,224,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,65
91,227,Munir El Haddadi,27.2,95,3.50,55,11,4,5,20,0,12,0.44,7,2,1,1,1,0,227,27.2,25,20,8,9,8,5,14,35.7,9,13,2,11,9,34,5,0,227,27.2,471,724,65.1,6677,1736,260,338,76.9,134,194,69.1,34,83,41.0,6,3.9,3.0,+2.1,41,33,22,6,68,227,27.2,990,6,47,403,548,92,990,51,28,54.9,23,45.1,681,3387,1260,48,42,14,90,87,779,173,227,27.2,10,62,23,37.1,2.28,0.85,0.16,0.43,17.2,5,0,0,9.1,9.1,0.15,+0.9,+0.9,77
92,230,Mario Hermoso,21.4,11,0.51,10,0,0,1,0,0,0,0.00,0,0,0,0,0,0,230,21.4,14,12,13,1,0,8,21,38.1,13,15,8,7,25,39,122,0,230,21.4,712,962,74.0,16861,6691,183,205,89.3,359,423,84.9,166,314,52.9,0,0.2,0.2,-0.2,5,52,2,0,49,230,21.4,1162,139,660,483,25,15,1162,8,5,62.5,3,37.5,617,2818,1469,7,1,1,14,4,659,2,230,21.4,1,11,3,27.3,0.51,0.14,0.09,0.33,24.8,1,0,0,1.0,1.0,0.09,0.0,0.0,73
